id,edad,genero
1,49.306744550437095,Femenino
2,36.75682830301551,Masculino
3,35.3231271195544,Masculino
4,42.022816464424984,Masculino
5,43.442752303292835,Femenino
6,29.486546807657682,Masculino
7,21.730669247886542,Masculino
8,30.70767379803872,Femenino
9,36.34084276895627,Masculino
10,48.0483580178243,Femenino
11,49.82136467328199,Femenino
12,33.387357887546585,Masculino
13,37.607454997289,Masculino
14,50.54221264233594,Masculino
15,37.64891048637584,Femenino
16,48.35168180997592,Masculino
17,48.006324002215734,Femenino
18,33.19928315455305,Masculino
19,21.496977042832953,Femenino
20,34.30479535021006,Femenino
21,45.461590744359746,Femenino
22,27.174607784222786,Femenino
23,50.37551986072455,Masculino
24,45.93320381454493,Femenino
25,14.591531540354573,Femenino
26,43.503297881358684,Femenino
27,50.14020157938166,Femenino
28,36.14234425001116,Masculino
29,34.54232056804652,Masculino
30,49.25283987076682,Masculino
31,50.61608313392991,Masculino
32,24.34944480538554,Femenino
33,20.53906321751952,No Binario
34,26.53475926086986,Masculino
35,21.826620438625064,Masculino
36,32.356869242642254,Femenino
37,45.54094509664542,Masculino
38,33.19604917382411,Femenino
39,53.97399664503096,Femenino
40,39.77061629422181,Masculino
41,20.89734414178716,Femenino
42,40.41490349596771,No Binario
43,46.587205175476996,Femenino
44,41.945418656034015,Femenino
45,41.9630874293436,Femenino
46,43.83849333417575,Femenino
47,50.176333101569156,Masculino
48,39.89317149277403,Femenino
49,51.041190466214246,No Binario
50,30.30937339044076,Masculino
51,19.277297617590815,Masculino
52,53.10751142621792,Femenino
53,31.8802764240448,Masculino
54,35.978212017489454,Femenino
55,25.057665720016367,Masculino
56,31.780071184608722,Femenino
57,39.68928120833566,Masculino
58,36.89027612570022,Masculino
59,10.196672496419211,Masculino
60,53.55495600958346,Masculino
61,31.587578631467558,Femenino
62,32.69183585928426,Masculino
63,48.04334635597404,Femenino
64,32.62735776975115,Femenino
65,46.988106665197996,No Binario
66,26.238750749056525,Femenino
67,23.596138875290126,Femenino
68,47.793284479758455,Masculino
69,34.889687717264735,Masculino
70,46.086566042956946,Masculino
71,39.37491634863272,Femenino
72,22.028392827145407,Masculino
73,48.66269581867278,Masculino
74,26.1792392577894,No Binario
75,26.007259424868135,Masculino
76,51.71928362507981,Masculino
77,41.75194382332872,No Binario
78,28.692796579938825,Masculino
79,32.7521160013333,Masculino
80,48.678192879639624,Femenino
81,55.29390901822325,No Binario
82,31.936297183944678,Masculino
83,28.3319322800481,Masculino
84,41.5385522836224,Femenino
85,46.246233151930596,Masculino
86,35.8917222392119,No Binario
87,30.975391803276253,Masculino
88,40.489429455007965,Masculino
89,51.30685285014807,No Binario
90,40.43192623325027,Masculino
91,65.50795280063066,Femenino
92,39.88361933554035,No Binario
93,62.64112812718704,Femenino
94,41.756054167392726,No Binario
95,57.16276368852329,Masculino
96,36.94260019600488,Masculino
97,61.339808610509166,Masculino
98,28.924708306446316,Masculino
99,28.02115360075192,Masculino
100,46.68743854700709,Masculino
101,45.43009760393223,Masculino
102,53.40277799736782,Masculino
103,38.721786882367965,No Binario
104,29.437825080035275,Masculino
105,45.38110113813033,Masculino
106,52.94065352485008,Femenino
107,39.73910327289845,Femenino
108,36.77289459073226,Masculino
109,44.968963030733136,Masculino
110,56.46110022499146,Masculino
111,48.87421047205481,Masculino
112,23.653022540717426,Masculino
113,34.00413071213295,No Binario
114,44.99571973255941,Masculino
115,45.50033239919424,Femenino
116,32.67992053337208,Masculino
117,36.93740519914424,Masculino
118,42.6891568953726,Masculino
119,33.07875186526874,Masculino
120,49.195423892074,Femenino
121,45.19253272722503,Masculino
122,42.28044683290534,Masculino
123,32.230215391327235,Femenino
124,36.00242052008557,Femenino
125,48.90107868619973,Femenino
126,42.67240796924297,No Binario
127,42.21790410853336,No Binario
128,38.099238853910904,Masculino
129,49.25358479890841,Masculino
